10,7:Core 20
12,7:OreSilo 0 200 30 -5
12,8:OreSilo 0 200 30 -5
14,10:OreSilo 0 200 30 -5
17,10:OreSilo 0 200 30 -5
16,8:OreSilo 0 200 30 -5
14,9:OreSilo 0 200 30 -5
13,8:OreSilo 0 200 30 -5
14,7:OreSilo 0 200 30 -5
17,9:OreSilo 0 200 30 -5
17,7:OreSilo 0 200 30 -5
17,6:OreSilo 0 200 30 -5
17,5:OreSilo 2 200 30 -5
17,4:OreSilo 96 200 30 -5
14,6:OreSilo 0 200 30 -5
12,9:OreSilo 0 200 30 -5
16,6:OreSilo 0 200 30 -5
15,8:OreSilo 0 200 30 -5
13,7:OreSilo 0 200 30 -5
14,7:OreSilo 0 200 30 -5
15,8:OreSilo 0 200 30 -5
15,5:OreSilo 0 200 30 -5
11,13:OreSilo 0 200 30 -5
11,13:OreSilo 0 200 30 -5
11,13:OreSilo 0 200 30 -5
13,8:OreSilo 0 200 30 -5
13,8:OreSilo 0 200 30 -5
13,8:OreSilo 0 200 30 -5
13,8:OreSilo 0 200 30 -5
13,8:OreSilo 0 200 30 -5
13,8:OreSilo 0 200 30 -5
7,10:OreSilo 0 200 30 -5
7,10:OreSilo 0 200 30 -5
7,10:OreSilo 0 200 30 -5
7,10:OreSilo 0 200 30 -5
7,10:OreSilo 0 200 30 -5
7,10:OreSilo 0 200 30 -5
7,10:OreSilo 0 200 30 -5
7,10:OreSilo 0 200 30 -5
10,9:Core 20
13,8:Core 20
10,8:OreSilo 0 200 30 -5
